"Report","url","pdfurl","Date","CountryCodeISO3"
"Country Focus","http://documents.worldbank.org/curated/en/2016/02/25973259/afghanistan-systematic-country-diagnostic","Afghanistan - Systematic country diagnostic","2016-02-24","AFG"
"Country Focus","http://documents.worldbank.org/curated/en/2015/07/24805408/albania-country-partnership-framework-period-fy15-fy19-kuadri-partneritetit-grupit-të-bankës-botërore-shqipërinë-2015-2019","Kuadri i Partneritetit i Grupit të Bankës
            Botërore me Shqipërinë 2015  2019","2015-07-20","ALB"
"Country Focus","http://documents.worldbank.org/curated/en/2013/10/18408308/armenia-country-partnership-strategy-period-fy14-fy17","Armenia - Country partnership strategy for
            the period FY14 - FY17","2013-10-16","ARM"
"Country Focus","http://documents.worldbank.org/curated/en/2013/08/18202690/angola-country-partnership-strategy-period-fy2014-2016","Angola - Country partnership strategy for
            the period FY2014-2016","2013-09-06","AGO"
"Country Focus","http://documents.worldbank.org/curated/en/2015/06/24632548/argentina-country-partnership-strategy-period-fy2015-18-estrategia-de-alianza-con-la-republica-argentina-2015-2018","Estrategia de Alianza Con la republica
            Argentina 2015-2018","2015-06-15","ARG"
"Country Focus","http://documents.worldbank.org/curated/en/2015/08/24881310/azerbaijan-country-partnership-strategy-completion-learning-review-period-fy2011-14-ieg-review","Azerbaijan - Country partnership strategy
            completion and learning review for the period FY2011-14 :
            IEG review","2015-08-07","AZE"
"Country Focus","http://documents.worldbank.org/curated/en/2015/11/25468654/rebalancing-bosnia-herzegovina-systematic-country-diagnostic","Rebalancing Bosnia and Herzegovina : a
            systematic country diagnostic","2015-11-19","BIH"
"Country Focus","http://documents.worldbank.org/curated/en/2015/11/25244079/bangladesh-more-better-jobs-accelerate-shared-growth-end-extreme-poverty-systematic-country-diagnostic","Bangladesh - More and better jobs to
            accelerate shared growth and end extreme poverty : a
            systematic country diagnostic","2015-11-01","BGD"
"Country Focus","http://documents.worldbank.org/curated/en/2015/07/24600034/burkina-faso-performance-learning-review-country-partnership-strategy-period-fy2013-16","Burkina Faso - Performance and learning
            review of the country partnership strategy for the period FY2013-16","2015-07-01","BFA"
"Country Focus","http://documents.worldbank.org/curated/en/2015/10/25119154/bulgarias-potential-sustainable-growth-shared-prosperity-systematic-country-diagnostic","Bulgarias potential for sustainable growth
            and shared prosperity : systematic country diagnostic","2015-10-05","BGR"
"Country Focus","http://documents.worldbank.org/curated/en/2013/03/17462500/benin-country-partnership-strategy-period-fy13-fy17","Benin - Country partnership strategy for the
            period FY13-FY17","2013-05-08","BEN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/12/25465220/bolivia-country-partnership-framework-period-fy16-fy20","Bolivia - Country partnership framework for
            the period FY16-FY20","2015-12-08","BOL"
"Country Focus","http://documents.worldbank.org/curated/en/2011/09/16261252/brazil-country-partnership-strategy-cps-period-fy2012-2015-brasil-estrategia-de-parceria-de-pais-para-el-periodo-de-2012-15","Brasil - Estratégia de parceria de país para
            el período de 2012-15","2012-04-26","BRA"
"Country Focus","http://documents.worldbank.org/curated/en/2010/10/12959909/bhutan-country-partnership-strategy-period-fy2011-2014","Bhutan - Country partnership strategy for
            the period FY2011-2014","2010-11-02","BTN"
"Country Focus","http://documents.worldbank.org/curated/en/2015/11/25174190/botswana-country-partnership-framework-fy16-20","Botswana - Country partnership framework for FY16-20","2015-11-24","BWA"
