Source,SourceDescription,url,note
MFM,Macroeconomic and Fiscal Management,http://www.worldbank.org/en/topic/macroeconomics/overview,Andrew Burns' team sent the file. Figure out with them how to keep this rolling in the future
WDI,World Development Indicators,http://data.worldbank.org/data-catalog/world-development indicators,Using the API. includes LPI and WGI
WEO,World Economic Outlook,https://www.imf.org/external/pubs/ft/weo/2015/02/weodata/index.aspx,Fully automated web scraping
DECPG,Development Prospects Group,"http://web.worldbank.org/WBSITE/EXTERNAL/EXTDEC/EXTDECPROSPECTS/0,,menuPK:476941~pagePK:51084723~piPK:51084722~theSitePK:476883,00.html",Allen Dennis sent an excel file with the calculated series. For now this is the only way to get the data
UNCTADSTAT,United Nations Conference on Trade and Development,http://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx,Download FDI excel files (can do .csv files). It might be possible to scrape this info. Try in the future. 
ES,Enterprise Survey,https://www.enterprisesurveys.org/data,Needs to be streamlined: scrape the website and read and process the original download. For now I'm using already processed files icsnapshots style 
WEF_PROFACT,World Economic Forum Most Problematic Factors,http://www.weforum.org/reports/global-competitiveness-report-2015-2016,"Scraping from PDF is working, after downloading and transforming PDF to Text. Transfer the code from my Mac to the TCMN project"
WEF_GCREP,World Economic Forum Global Competitiveness Report,http://www.weforum.org/reports/global-competitiveness-report-2015-2016,I'm able to webscrape this one but for now I'm using the already downloaded file. To be automated
DB,Doing Business,http://www.doingbusiness.org/data,Created file with ICSnapshots format. For now I will use this but need to create script to make the automate this transformation
WITS_TRADE,World Integrated Trade Solution (United Nations COMTRADE),http://wits.worldbank.org,Download files from WITS/Advanced Query/Trade Data (UN COMTRADE) in excel format.  Downloaded only for MENA countries. Product descriptors are truncated. Have to match by code with the full descriptor name (HSProducts.xslx). The rest is automated
WITS_TARIFF,World Integrated Trade Solution Tariff and Trade Analysis,http://wits.worldbank.org,Download files from WITS/Advance Query/Tariff&Trade Analysis in excel format.  The rest is automated
WTO,World Trade Organization Trade Profiles,http://stat.wto.org/CountryProfile/WSDBCountryPFHome.aspx?Language=E,Fully automated web scraping. Only there is an issue with 3 countries that return an error. Have to investigate further
