"couISO3","Long","Lat"
"ATG",-61.783,17.078
"DZA",2.632,28.163
"AZE",47.395,40.43
"ALB",20.068,41.143
"ARM",44.563,40.534
"AGO",17.544,-12.296
"ASM",-170.73,-14.318
"ARG",-65.167,-35.377
"AUS",136.189,-24.973
"BHR",50.562,26.019
"BRB",-59.559,13.153
"BMU",-64.709,32.336
"BHS",-78.014,24.628
"BGD",89.941,24.218
"BLZ",-88.602,17.219
"BIH",17.786,44.169
"BOL",-64.671,-16.715
"MMR",96.041,21.718
"BEN",2.469,10.541
"SLB",160.109,-9.611
"BRA",-53.089,-10.772
"BGR",25.231,42.761
"BRN",114.591,4.468
"CAN",-109.433,59.081
"KHM",104.564,12.714
"LKA",80.704,7.612
"COG",15.986,-0.055
"COD",23.654,-2.876
"BDI",29.887,-3.356
"CHN",106.514,33.42
"AFG",65.216,33.677
"BTN",90.429,27.415
"CHL",-69.433,-23.389
"CYM",-81.198,19.314
"CMR",12.277,5.133
"TCD",18.665,15.361
"COM",43.337,-11.758
"COL",-73.076,3.9
"CRI",-83.946,9.971
"CAF",20.483,6.571
"CUB",-77.781,21.297
"CPV",-23.634,15.071
"COK",-159.782,-21.219
"CYP",33.219,35.043
"DNK",9.264,56.058
"DJI",42.516,11.9
"DMA",-61.356,15.475
"DOM",-70.729,19.015
"ECU",-78.497,-1.385
"EGY",29.872,26.494
"IRL",-8.152,53.177
"GNQ",10.488,1.607
"EST",25.793,58.674
"ERI",38.219,16.045
"SLV",-88.866,13.736
"ETH",39.616,8.626
"AUT",14.912,47.683
"CZE",15.338,49.743
"GUF",-53.241,3.924
"FIN",26.272,64.504
"FJI",177.974,-17.819
"FLK",-58.694,-51.665
"FSM",158.235,6.883
"PYF",-149.462,-17.626
"FRA",2.55,46.565
"GMB",-15.386,13.453
"GAB",11.797,-0.591
"GEO",43.518,42.176
"GHA",-1.207,7.96
"GRD",-61.678,12.118
"GRL",-41.391,74.719
"DEU",9.851,51.11
"GUM",144.707,13.385
"GRC",21.766,39.666
"GTM",-90.398,15.256
"GIN",-10.942,10.439
"GUY",-58.974,4.792
"HTI",-72.278,19.142
"HND",-86.863,14.819
"HRV",16.693,45.723
"HUN",19.134,47.07
"ISL",-18.48,64.764
"IND",79.619,22.881
"IRN",54.301,32.565
"ISR",34.851,31.026
"ITA",10.44,44.931
"CIV",-5.556,7.632
"IRQ",43.772,33.048
"JPN",139.068,36.491
"JAM",-77.32,18.151
"JOR",36.319,30.703
"KEN",37.858,0.53
"KGZ",74.555,41.465
"PRK",126.451,39.778
"KIR",175.036,-1.508
"KOR",128.103,36.504
"KWT",47.376,29.476
"KAZ",67.301,48.16
"LAO",102.471,19.905
"LBN",35.888,33.92
"LVA",25.641,56.858
"BLR",28.047,53.54
"LTU",23.897,55.336
"LBR",-9.657,6.682
"SVK",19.491,48.707
"LIE",9.555,47.153
"LBY",18.023,27.044
"MDG",46.706,-19.374
"MTQ",-61.021,14.653
"MNG",102.876,46.056
"MSR",-62.187,16.736
"MKD",21.698,41.6
"MLI",-3.524,17.35
"MAR",-5.758,32.706
"MUS",57.583,-20.255
"MRT",-10.332,20.26
"MLT",14.442,35.89
"OMN",57.407,21.656
"MDV",72.92,3.548
"MEX",-102.535,23.951
"MYS",102.195,4.201
"MOZ",37.923,-14.422
"MWI",33.808,-13.4
"NCL",165.447,-21.359
"NIU",-169.869,-19.052
"NER",9.398,17.426
"ABW",-69.977,12.517
"AIA",-63.032,18.237
"BEL",4.664,50.643
"HKG",114.129,22.423
"MNP",145.623,15.005
"FRO",-6.864,62.05
"AND",1.576,42.549
"GIB",-5.345,36.138
"IMN",-4.527,54.229
"LUX",6.088,49.771
