"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"ABW",2013,"UNCTAD-SoP1",105164.572,NA,"N.Q.","Raw materials"
"ABW",2013,"UNCTAD-SoP2",102744.753,NA,"N.Q.","Intermediate goods"
"ABW",2013,"UNCTAD-SoP3",889456.287,NA,"N.Q.","Consumer goods"
"ABW",2013,"UNCTAD-SoP4",175187.184,NA,"N.Q.","Capital goods"
"ABW",2014,"UNCTAD-SoP1",110240.468,NA,"N.Q.","Raw materials"
"ABW",2014,"UNCTAD-SoP2",103466.742,NA,"N.Q.","Intermediate goods"
"ABW",2014,"UNCTAD-SoP3",844383.488,NA,"N.Q.","Consumer goods"
"ABW",2014,"UNCTAD-SoP4",192095.003,NA,"N.Q.","Capital goods"
"AFG",2013,"UNCTAD-SoP1",1452547.655,2857876610,"Kg","Raw materials"
"AFG",2013,"UNCTAD-SoP2",939663.068,NA,"N.Q.","Intermediate goods"
"AFG",2013,"UNCTAD-SoP3",304402.651,3001245,"Item","Consumer goods"
"AFG",2014,"UNCTAD-SoP1",1488624.239,937930498,"Kg","Raw materials"
"AFG",2014,"UNCTAD-SoP2",1023630.434,NA,"N.Q.","Intermediate goods"
"AFG",2014,"UNCTAD-SoP3",349178.605,3000578,"Item","Consumer goods"
"ALB",2013,"UNCTAD-SoP1",411062.695,NA,"N.Q.","Raw materials"
"ALB",2013,"UNCTAD-SoP2",1250342.856,NA,"N.Q.","Intermediate goods"
"ALB",2013,"UNCTAD-SoP3",2547358.864,NA,"N.Q.","Consumer goods"
"ALB",2013,"UNCTAD-SoP4",630061.662,NA,"N.Q.","Capital goods"
"ALB",2014,"UNCTAD-SoP1",244067.612,NA,"N.Q.","Raw materials"
"ALB",2014,"UNCTAD-SoP2",661268.579,NA,"N.Q.","Intermediate goods"
"ALB",2014,"UNCTAD-SoP3",1744244.992,NA,"N.Q.","Consumer goods"
"ALB",2014,"UNCTAD-SoP4",315530.978,NA,"N.Q.","Capital goods"
"AND",2013,"UNCTAD-SoP1",68467.668,NA,"N.Q.","Raw materials"
"AND",2013,"UNCTAD-SoP2",116219.64,NA,"N.Q.","Intermediate goods"
"AND",2013,"UNCTAD-SoP3",1095421.97,NA,"N.Q.","Consumer goods"
"AND",2013,"UNCTAD-SoP4",195465.247,NA,"N.Q.","Capital goods"
"AND",2014,"UNCTAD-SoP1",71059.645,NA,"N.Q.","Raw materials"
"AND",2014,"UNCTAD-SoP2",134873.494,NA,"N.Q.","Intermediate goods"
"AND",2014,"UNCTAD-SoP3",1146239.641,NA,"N.Q.","Consumer goods"
"AND",2014,"UNCTAD-SoP4",192941.794,NA,"N.Q.","Capital goods"
"ARG",2013,"UNCTAD-SoP1",2413032.71,NA,"N.Q.","Raw materials"
"ARG",2013,"UNCTAD-SoP2",15643872.295,NA,"N.Q.","Intermediate goods"
"ARG",2013,"UNCTAD-SoP3",27466505.43,NA,"N.Q.","Consumer goods"
"ARG",2013,"UNCTAD-SoP4",27023087.811,2827175034,"Item","Capital goods"
"ARG",2014,"UNCTAD-SoP1",2545497.658,NA,"N.Q.","Raw materials"
"ARG",2014,"UNCTAD-SoP2",15026995.88,NA,"N.Q.","Intermediate goods"
"ARG",2014,"UNCTAD-SoP3",22850111.958,20849197,"Area  SM","Consumer goods"
"ARG",2014,"UNCTAD-SoP4",23737155.062,NA,"N.Q.","Capital goods"
"ARM",2013,"UNCTAD-SoP1",444975.572,NA,"N.Q.","Raw materials"
"ARM",2013,"UNCTAD-SoP2",958503.791,NA,"N.Q.","Intermediate goods"
"ARM",2013,"UNCTAD-SoP3",2125049.499,NA,"N.Q.","Consumer goods"
"ARM",2013,"UNCTAD-SoP4",668620.283,NA,"N.Q.","Capital goods"
"ARM",2014,"UNCTAD-SoP1",435907.445,NA,"N.Q.","Raw materials"
"ARM",2014,"UNCTAD-SoP2",1007080.714,NA,"N.Q.","Intermediate goods"
"ARM",2014,"UNCTAD-SoP3",1986506.509,NA,"N.Q.","Consumer goods"
"ARM",2014,"UNCTAD-SoP4",652707.013,NA,"N.Q.","Capital goods"
