"CountryCode","Period","ProductCode","TradeValue","Quantity","QuantityUnit","ProductDescription"
"DZA",2014,3330,24376910.35,29609629849,"Kg","Crude petroleum"
"DZA",2014,3346,12085698.82,15784120321,"Kg","Petroleum oils & oils obtained from"
"DZA",2014,3432,10895012.71,16289834101,"Kg","Natural gas, in the gaseous state"
"DZA",2014,3431,7345999.994,12980850552,"Kg","Natural gas, liquefied"
"DZA",2014,3421,3469060.134,4353190611,"Kg","Propane, liquefied"
"DZA",2014,3425,2434207.094,2853232486,"Kg","Butanes, liquefied"
"DZA",2014,3352,943655.05,656542190,"Kg","Mineral tars and products of their "
"DZA",2014,5226,570893.605,1093532248,"Kg","Other inorganic bases and metal oxi"
"DZA",2014,5621,294006.694,841008342,"Kg","Mineral or chemical fertilizers, ni"
"DZA",2014,612,229383.582,476486522,"Kg","Other beet or cane sugar and chemic"
"DZA",2014,5112,124412.307,115090259,"Kg","Cyclic hydrocarbons"
"DZA",2014,2723,96482.915,1334060280,"Kg","Natural calcium phosphates, natural"
"DZA",2014,5121,47594.036,111751170,"Kg","Acyclic monohydric alcohols"
"DZA",2014,5222,47460.259,NA,"N.Q.","Other chemical elements"
"DZA",2014,579,39020.212,26016957,"Kg","Fruit, fresh or dried, n.e.s."
"DZA",2014,3510,25008.787,420419,"1000 KW/H","Electric current"
"DZA",2014,1110,15514.25,25989388,"Liter","Non-alcoholic beverages, n.e.s."
"DZA",2014,6114,13427.526,5571095,"Kg","Tanned or crust hides and skins of "
"DZA",2014,6115,12816.396,1309607,"Kg","Sheep- or lambskin leather, without"
"DZA",2014,6644,11867.991,2485639,"Area  SM","Float glass and surface ground or p"
"DZA",2014,6633,8919.43,58737505,"Kg","Manufactures of mineral materials, "
"DZA",2014,2511,8617.615,150541567,"Kg","Recovered (waste and scrap) paper o"
"DZA",2014,6712,7811.432,20600000,"Kg","Pig-iron and spiegeleisen, in pigs,"
"DZA",2014,724,7727.392,1381000,"Kg","Cocoa butter, fat/oil"
"DZA",2014,989,6462.619,8829195,"Kg","Food preparations, n.e.s."
"DZA",2014,6647,6260.956,13714723,"Kg","Safety glass, consisting of toughen"
"DZA",2014,548,6081.431,7194466,"Kg","Vegetable products, roots and tuber"
"DZA",2014,6861,6031.827,2978970,"Kg","Zinc and zinc alloys, unwrought"
"DZA",2014,5114,5911.024,3355000,"Kg","Sulphonated, nitrated/nitrosated de"
"DZA",2014,3347,5445.413,13058722,"Kg","Waste oils"
"DZA",2014,223,3835.384,2981617,"Kg","Yogurt; buttermilk, curdled, fermen"
